Tipo de institución,institucion,empleabilidad,,ingreso_promedio_4to_año
Centro de Formación Técnica,CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,S/I,,S/I
Centro de Formación Técnica,CFT ICEL,S/I,,S/I
Centro de Formación Técnica,CFT INACAP,S/I,,S/I
Centro de Formación Técnica,CFT INACAP,S/I,,S/I
Instituto Profesional,IP AIEP,"42,00%",,S/I
Instituto Profesional,IP AIEP,S/I,,$500-600 mil
Instituto Profesional,IP AIEP,S/I,,$500 - $600 mil
Instituto Profesional,IP DE CHILE,"79,00%",,S/I
Instituto Profesional,IP DUOC UC,"59,40%",,$700 - $800 mil
Instituto Profesional,IP DUOC UC,"70,10%",,$700 - $800 mil
Instituto Profesional,IP DUOC UC,"63,10%",,$600 - $700 mil
Instituto Profesional,IP DUOC UC,"58,70%",,$600 - $700 mil
Instituto Profesional,IP INACAP,"59,00%",,S/I
Instituto Profesional,IP INACAP,S/I,,$500 - $600 mil
Instituto Profesional,IP LOS LEONES,S/I,,$500-600 mil
Instituto Profesional,IP SANTO TOMAS,S/I,,S/I
Instituto Profesional,IP SANTO TOMAS,"55,70%",,$500 - $600 mil
Universidad,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"79,80%",,S/I
Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"56,80%",,S/I
Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"56,80%",,S/I
Universidad,UNIVERSIDAD ADOLFO IBAÑEZ,S/I,,S/I
Universidad,UNIVERSIDAD ANDRES BELLO,S/I,,S/I
Universidad,UNIVERSIDAD ANDRES BELLO,"52,00%",,S/I
Universidad,UNIVERSIDAD ANDRES BELLO,S/I,,S/I
Universidad,UNIVERSIDAD ANDRES BELLO,"52,00%",,$700 - $800 mil
Universidad,UNIVERSIDAD CATOLICA DE TEMUCO,"55,00%",,S/I
Universidad,UNIVERSIDAD CATOLICA DE TEMUCO,"55,00%",,S/I
Universidad,UNIVERSIDAD DE ANTOFAGASTA,"65,00%",,$600-700 mil
Universidad,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","47,90%",,S/I
Universidad,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","47,90%",,S/I
Universidad,UNIVERSIDAD DE CHILE,S/I,,S/I
Universidad,UNIVERSIDAD DE CHILE,"77,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD DE CHILE,"77,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD DE LA SERENA,"51,60%",,S/I
Universidad,UNIVERSIDAD DE LAS AMERICAS,S/I,,S/I
Universidad,UNIVERSIDAD DE LAS AMERICAS,S/I,,S/I
Universidad,UNIVERSIDAD DE LAS AMERICAS,S/I,,S/I
Universidad,UNIVERSIDAD DE SANTIAGO DE CHILE,"66,70%",,$700 - $800 mil
Universidad,UNIVERSIDAD DE TALCA,"53,80%",,S/I
Universidad,UNIVERSIDAD DE TARAPACA,S/I,,S/I
Universidad,UNIVERSIDAD DE VALPARAISO,S/I,,$600 - $700 mil
Universidad,UNIVERSIDAD DEL BIO-BIO,"60,60%",,$600 - $700 mil
Universidad,UNIVERSIDAD DEL BIO-BIO,"57,60%",,$600 - $700 mil
Universidad,UNIVERSIDAD DEL DESARROLLO,"72,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD DEL DESARROLLO,"72,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD DEL DESARROLLO,"72,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD DEL PACIFICO,"57,70%",,$900 mil - $1 millón
Universidad,UNIVERSIDAD DEL PACIFICO,"67,40%",,$800 - $900 mil
Universidad,UNIVERSIDAD DEL PACIFICO,"56,30%",,$700 - $800 mil
Universidad,UNIVERSIDAD DIEGO PORTALES,"72,70%",,$800 - $900 mil
Universidad,UNIVERSIDAD DIEGO PORTALES,"72,70%",,$800 - $900 mil
Universidad,UNIVERSIDAD FINIS TERRAE,"53,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD FINIS TERRAE,"53,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD GABRIELA MISTRAL,S/I,,S/I
Universidad,UNIVERSIDAD MAYOR,"64,60%",,$800 - $900 mil
Universidad,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"76,80%",,$800 - $900 mil
Universidad,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"68,20%",,$800 - $900 mil